"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","ESC_NA4003AA_AS","ESC_NA4004AA_AS","ESC_NA4005AA_AS","ESC_NA4045AA_AS"
"group_720","","hypothetical protein","4","4","1","44","2","","","","560","560","560","LOCUS_48170","f76cef297a7dedb9150c88bc61db4d5a_4983","d0dc75faf82af35216c4087e568ab6aa_4855","e27c64c29733013eb4c363b5c7ab13b8_4945"
"elbB","","glyoxalase ElbB","4","4","1","7","156","","","","653","653","653","LOCUS_05760","f76cef297a7dedb9150c88bc61db4d5a_810","d0dc75faf82af35216c4087e568ab6aa_826","e27c64c29733013eb4c363b5c7ab13b8_1471"
"hisC","","histidinol-phosphate aminotransferase","4","4","1","6","72","","","","1070","1070","1070","LOCUS_41310","f76cef297a7dedb9150c88bc61db4d5a_4347","d0dc75faf82af35216c4087e568ab6aa_3690","e27c64c29733013eb4c363b5c7ab13b8_3901"
"rapZ","","RNase adapter protein RapZ","4","4","1","7","152","","","","854","854","854","LOCUS_05720","f76cef297a7dedb9150c88bc61db4d5a_814","d0dc75faf82af35216c4087e568ab6aa_822","e27c64c29733013eb4c363b5c7ab13b8_1467"
"group_724","","protein FixC","4","4","1","4","215","","","","1286","1286","1286","LOCUS_25960","f76cef297a7dedb9150c88bc61db4d5a_1272","d0dc75faf82af35216c4087e568ab6aa_3388","e27c64c29733013eb4c363b5c7ab13b8_960"
"ftsE","","cell division ATP-binding protein FtsE","4","4","1","17","74","","","","668","668","668","LOCUS_17240","f76cef297a7dedb9150c88bc61db4d5a_3569","d0dc75faf82af35216c4087e568ab6aa_3103","e27c64c29733013eb4c363b5c7ab13b8_3794"
"group_726","","lysozyme","4","4","1","9","76","","","","497","497","497","LOCUS_38970","f76cef297a7dedb9150c88bc61db4d5a_1503","d0dc75faf82af35216c4087e568ab6aa_3491","e27c64c29733013eb4c363b5c7ab13b8_2684"
"insF5","","transposase InsF for insertion sequence IS3E","4","4","1","43","2","","","","866","866","866","LOCUS_47970","f76cef297a7dedb9150c88bc61db4d5a_4977","d0dc75faf82af35216c4087e568ab6aa_4842","e27c64c29733013eb4c363b5c7ab13b8_4901"
"rraA","","regulator of ribonuclease activity A","4","4","1","13","115","","","","485","485","485","LOCUS_15120","f76cef297a7dedb9150c88bc61db4d5a_3366","d0dc75faf82af35216c4087e568ab6aa_1253","e27c64c29733013eb4c363b5c7ab13b8_3082"
"group_729","","PTS sugar transporter subunit IIA","4","4","1","19","10","","","","440","440","440","LOCUS_11510","f76cef297a7dedb9150c88bc61db4d5a_4468","d0dc75faf82af35216c4087e568ab6aa_3977","e27c64c29733013eb4c363b5c7ab13b8_2849"
"rrmA","","23S rRNA (guanine(745)-N(1))-methyltransferase","4","4","1","2","241","","","","725","809","788","LOCUS_19800","f76cef297a7dedb9150c88bc61db4d5a_196","d0dc75faf82af35216c4087e568ab6aa_2","e27c64c29733013eb4c363b5c7ab13b8_707"
"nadE","","NH(3)-dependent NAD(+) synthetase","4","4","1","2","317","","","","827","827","827","LOCUS_01950","f76cef297a7dedb9150c88bc61db4d5a_272","d0dc75faf82af35216c4087e568ab6aa_78","e27c64c29733013eb4c363b5c7ab13b8_631"
"dgt","","deoxyguanosinetriphosphate triphosphohydrolase","4","4","1","19","55","","","","1517","1517","1517","LOCUS_11820","f76cef297a7dedb9150c88bc61db4d5a_3617","d0dc75faf82af35216c4087e568ab6aa_1668","e27c64c29733013eb4c363b5c7ab13b8_2880"
"group_732","","hypothetical protein","4","4","1","4","53","","","","920","920","920","LOCUS_33600","f76cef297a7dedb9150c88bc61db4d5a_1380","d0dc75faf82af35216c4087e568ab6aa_3607","e27c64c29733013eb4c363b5c7ab13b8_1068"
"ygaD","","nicotinamide-nucleotide amidohydrolase PncC","4","4","1","3","294","","","","497","497","497","LOCUS_30040","f76cef297a7dedb9150c88bc61db4d5a_610","d0dc75faf82af35216c4087e568ab6aa_3926","e27c64c29733013eb4c363b5c7ab13b8_296"
"folA","","dihydrofolate reductase","4","4","1","4","210","","","","590","590","590","LOCUS_26010","f76cef297a7dedb9150c88bc61db4d5a_1267","d0dc75faf82af35216c4087e568ab6aa_3383","e27c64c29733013eb4c363b5c7ab13b8_955"
"group_735","","crossover junction endodeoxyribonuclease rusA","4","4","1","1","790","","","","374","374","374","LOCUS_45480","f76cef297a7dedb9150c88bc61db4d5a_2678","d0dc75faf82af35216c4087e568ab6aa_254","e27c64c29733013eb4c363b5c7ab13b8_3947"
"yeaH","","UPF0229 protein YeaH","4","4","1","2","274","","","","1283","1283","1283","LOCUS_29810","f76cef297a7dedb9150c88bc61db4d5a_229","d0dc75faf82af35216c4087e568ab6aa_35","e27c64c29733013eb4c363b5c7ab13b8_674"
"nupG","","nucleoside permease NupG","4","4","1","3","6","","","","1256","1256","1256","LOCUS_24140","f76cef297a7dedb9150c88bc61db4d5a_4060","d0dc75faf82af35216c4087e568ab6aa_3504","e27c64c29733013eb4c363b5c7ab13b8_4"
"flgH","","flagellar L-ring protein","4","4","1","1","143","","","","698","698","698","LOCUS_03000","f76cef297a7dedb9150c88bc61db4d5a_2835","d0dc75faf82af35216c4087e568ab6aa_1882","e27c64c29733013eb4c363b5c7ab13b8_2298"
"group_739","","glutathione ABC transporter substrate-binding protein","4","4","1","5","107","","","","1508","1508","1508","LOCUS_06460","f76cef297a7dedb9150c88bc61db4d5a_1065","d0dc75faf82af35216c4087e568ab6aa_651","e27c64c29733013eb4c363b5c7ab13b8_472"
"htpX","","protease HtpX","4","4","1","2","235","","","","839","881","849","LOCUS_19860","f76cef297a7dedb9150c88bc61db4d5a_190","d0dc75faf82af35216c4087e568ab6aa_2708","e27c64c29733013eb4c363b5c7ab13b8_713"
"coaD","","phosphopantetheine adenylyltransferase","4","4","1","12","124","","","","479","479","479","LOCUS_32070","f76cef297a7dedb9150c88bc61db4d5a_2295","d0dc75faf82af35216c4087e568ab6aa_2633","e27c64c29733013eb4c363b5c7ab13b8_1540"
"kdpB","","potassium-transporting ATPase ATP-binding subunit","4","4","1","1","191","","","","2048","2048","2048","LOCUS_37360","f76cef297a7dedb9150c88bc61db4d5a_4127","d0dc75faf82af35216c4087e568ab6aa_1042","e27c64c29733013eb4c363b5c7ab13b8_4255"
"ilvM","","acetolactate synthase isozyme 2 small subunit","4","4","1","22","5","","","","263","263","263","LOCUS_24770","f76cef297a7dedb9150c88bc61db4d5a_3939","d0dc75faf82af35216c4087e568ab6aa_2672","e27c64c29733013eb4c363b5c7ab13b8_3501"
"rutF","","FMN reductase (NADH) RutF","4","4","1","1","79","","","","494","494","494","LOCUS_03630","f76cef297a7dedb9150c88bc61db4d5a_2937","d0dc75faf82af35216c4087e568ab6aa_1171","e27c64c29733013eb4c363b5c7ab13b8_2505"
"pepN","","aminopeptidase N","4","4","1","1","18","","","","2612","2612","2612","LOCUS_04240","f76cef297a7dedb9150c88bc61db4d5a_2999","d0dc75faf82af35216c4087e568ab6aa_1109","e27c64c29733013eb4c363b5c7ab13b8_2567"
"mqo","","malate:quinone oxidoreductase","4","4","1","10","97","","","","1646","1646","1646","LOCUS_12630","f76cef297a7dedb9150c88bc61db4d5a_4151","d0dc75faf82af35216c4087e568ab6aa_4880","e27c64c29733013eb4c363b5c7ab13b8_2951"
"yqfB","","UPF0267 protein YqfB","4","4","1","3","68","","","","311","311","311","LOCUS_30790","f76cef297a7dedb9150c88bc61db4d5a_2010","d0dc75faf82af35216c4087e568ab6aa_615","e27c64c29733013eb4c363b5c7ab13b8_66"
"fliM","","flagellar motor switch protein FliM","4","4","1","2","128","","","","1004","1004","1004","LOCUS_41860","f76cef297a7dedb9150c88bc61db4d5a_79","d0dc75faf82af35216c4087e568ab6aa_3711","e27c64c29733013eb4c363b5c7ab13b8_3770"
"group_748","","cell envelope integrity protein CreD","4","4","1","4","112","","","","1352","1352","1352","LOCUS_27980","f76cef297a7dedb9150c88bc61db4d5a_1318","d0dc75faf82af35216c4087e568ab6aa_1984","e27c64c29733013eb4c363b5c7ab13b8_1006"
"prmB","","50S ribosomal protein L3 glutamine methyltransferase","4","4","1","10","9","","","","932","932","932","LOCUS_19070","f76cef297a7dedb9150c88bc61db4d5a_2051","d0dc75faf82af35216c4087e568ab6aa_2393","e27c64c29733013eb4c363b5c7ab13b8_3364"
"yebU","","ribosomal RNA small subunit methyltransferase F","4","4","1","2","229","","","","1394","1445","1419","LOCUS_19920","f76cef297a7dedb9150c88bc61db4d5a_183","d0dc75faf82af35216c4087e568ab6aa_2715","e27c64c29733013eb4c363b5c7ab13b8_719"
"group_750","","hypothetical protein","4","4","1","21","27","","","","860","860","860","LOCUS_33100","f76cef297a7dedb9150c88bc61db4d5a_3887","d0dc75faf82af35216c4087e568ab6aa_2157","e27c64c29733013eb4c363b5c7ab13b8_3989"
"group_751","","purine permease","4","4","1","1","619","","","","1301","1301","1301","LOCUS_09710","f76cef297a7dedb9150c88bc61db4d5a_1884","d0dc75faf82af35216c4087e568ab6aa_3729","e27c64c29733013eb4c363b5c7ab13b8_1265"
"gpI","","phage tail protein I","4","4","1","9","67","","","","530","530","530","LOCUS_38880","f76cef297a7dedb9150c88bc61db4d5a_1512","d0dc75faf82af35216c4087e568ab6aa_3482","e27c64c29733013eb4c363b5c7ab13b8_2693"
"group_753","","hypothetical protein","4","4","1","18","86","","","","266","266","266","LOCUS_21460","f76cef297a7dedb9150c88bc61db4d5a_3654","d0dc75faf82af35216c4087e568ab6aa_4692","e27c64c29733013eb4c363b5c7ab13b8_4760"
"group_754","","transcriptional regulator","4","4","1","9","33","","","","290","290","290","LOCUS_21100","f76cef297a7dedb9150c88bc61db4d5a_1546","d0dc75faf82af35216c4087e568ab6aa_3215","e27c64c29733013eb4c363b5c7ab13b8_2727"
"group_755","","L-sorbose 1-phosphate reductase","4","4","1","3","37","","","","1277","1277","1277","LOCUS_24460","f76cef297a7dedb9150c88bc61db4d5a_2041","d0dc75faf82af35216c4087e568ab6aa_646","e27c64c29733013eb4c363b5c7ab13b8_35"
"group_756","","AI-2E family transporter","4","4","1","8","107","","","","1061","1061","1061","LOCUS_09370","f76cef297a7dedb9150c88bc61db4d5a_4241","d0dc75faf82af35216c4087e568ab6aa_3832","e27c64c29733013eb4c363b5c7ab13b8_1909"
"yejB","","ABC transporter permease","4","4","1","10","68","","","","1094","1094","1094","LOCUS_12920","f76cef297a7dedb9150c88bc61db4d5a_4181","d0dc75faf82af35216c4087e568ab6aa_3444","e27c64c29733013eb4c363b5c7ab13b8_2921"
"group_758","","starvation-sensing protein RspA","4","4","1","13","79","","","","1214","1214","1214","LOCUS_36190","f76cef297a7dedb9150c88bc61db4d5a_4749","d0dc75faf82af35216c4087e568ab6aa_4766","e27c64c29733013eb4c363b5c7ab13b8_3859"
"group_759","","enterochelin esterase","4","4","1","1","292","","","","1202","1202","1202","LOCUS_17690","f76cef297a7dedb9150c88bc61db4d5a_2448","d0dc75faf82af35216c4087e568ab6aa_1820","e27c64c29733013eb4c363b5c7ab13b8_2033"
"mpaA","","murein peptide amidase A","4","4","1","1","389","","","","656","728","710","LOCUS_20700","f76cef297a7dedb9150c88bc61db4d5a_3182","d0dc75faf82af35216c4087e568ab6aa_387","e27c64c29733013eb4c363b5c7ab13b8_1164"
"group_760","","hypothetical protein","4","4","1","6","1","","","","383","383","383","LOCUS_40000","f76cef297a7dedb9150c88bc61db4d5a_1737","d0dc75faf82af35216c4087e568ab6aa_4884","e27c64c29733013eb4c363b5c7ab13b8_938"
"group_761","","oxidoreductase FixC","4","4","1","2","355","","","","1289","1289","1289","LOCUS_01570","f76cef297a7dedb9150c88bc61db4d5a_310","d0dc75faf82af35216c4087e568ab6aa_116","e27c64c29733013eb4c363b5c7ab13b8_593"
"mltA","","murein transglycosylase A","4","4","1","3","181","","","","1067","1067","1067","LOCUS_08480","f76cef297a7dedb9150c88bc61db4d5a_722","d0dc75faf82af35216c4087e568ab6aa_2480","e27c64c29733013eb4c363b5c7ab13b8_184"
"group_763","","kinase inhibitor","4","4","1","5","51","","","","476","476","476","LOCUS_07020","f76cef297a7dedb9150c88bc61db4d5a_1010","d0dc75faf82af35216c4087e568ab6aa_707","e27c64c29733013eb4c363b5c7ab13b8_527"
"group_764","","hypothetical protein","4","4","1","16","95","","","","8051","8051","8051","LOCUS_39550","f76cef297a7dedb9150c88bc61db4d5a_4262","d0dc75faf82af35216c4087e568ab6aa_3468","e27c64c29733013eb4c363b5c7ab13b8_2181"
"group_765","","calcium/sodium antiporter","4","4","1","7","143","","","","977","977","977","LOCUS_05630","f76cef297a7dedb9150c88bc61db4d5a_823","d0dc75faf82af35216c4087e568ab6aa_813","e27c64c29733013eb4c363b5c7ab13b8_1458"
"group_766","","sigma-54-dependent Fis family transcriptional regulator","4","4","1","6","187","","","","1358","1358","1358","LOCUS_15520","f76cef297a7dedb9150c88bc61db4d5a_1675","d0dc75faf82af35216c4087e568ab6aa_1331","e27c64c29733013eb4c363b5c7ab13b8_876"
"group_767","","aspartate-semialdehyde dehydrogenase","4","4","1","10","20","","","","1013","1013","1013","LOCUS_18960","f76cef297a7dedb9150c88bc61db4d5a_2062","d0dc75faf82af35216c4087e568ab6aa_2404","e27c64c29733013eb4c363b5c7ab13b8_3375"
"group_768","","type II secretion system protein K","4","4","1","34","10","","","","983","983","983","LOCUS_45150","f76cef297a7dedb9150c88bc61db4d5a_4703","d0dc75faf82af35216c4087e568ab6aa_4432","e27c64c29733013eb4c363b5c7ab13b8_4672"
"arnC","","undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase","4","4","1","10","142","","","","968","968","968","LOCUS_43700","f76cef297a7dedb9150c88bc61db4d5a_2124","d0dc75faf82af35216c4087e568ab6aa_2814","e27c64c29733013eb4c363b5c7ab13b8_4563"
"ycjZ","","LysR family transcriptional regulator","4","4","1","1","386","","","","563","899","815","LOCUS_20740","f76cef297a7dedb9150c88bc61db4d5a_3185","d0dc75faf82af35216c4087e568ab6aa_384","e27c64c29733013eb4c363b5c7ab13b8_1161"
"mukB","","chromosome partition protein MukB","4","4","1","1","9","","","","4460","4460","4460","LOCUS_44220","f76cef297a7dedb9150c88bc61db4d5a_3008","d0dc75faf82af35216c4087e568ab6aa_4154","e27c64c29733013eb4c363b5c7ab13b8_2576"
"group_771","","phage portal protein","4","4","1","30","2","","","","1592","1592","1592","LOCUS_43650","f76cef297a7dedb9150c88bc61db4d5a_4558","d0dc75faf82af35216c4087e568ab6aa_4887","e27c64c29733013eb4c363b5c7ab13b8_4780"
"yfcN","","UPF0115 protein YfcN","4","4","1","10","8","","","","551","551","551","LOCUS_19080","f76cef297a7dedb9150c88bc61db4d5a_2050","d0dc75faf82af35216c4087e568ab6aa_2392","e27c64c29733013eb4c363b5c7ab13b8_3363"
"yhbX","","phosphate starvation-inducible protein PsiE","4","4","1","7","121","","","","1517","1517","1517","LOCUS_05410","f76cef297a7dedb9150c88bc61db4d5a_846","d0dc75faf82af35216c4087e568ab6aa_790","e27c64c29733013eb4c363b5c7ab13b8_1435"
"yjhQ","","N-acetyltransferase","4","4","1","4","20","","","","545","545","545","LOCUS_40340","f76cef297a7dedb9150c88bc61db4d5a_3841","d0dc75faf82af35216c4087e568ab6aa_3590","e27c64c29733013eb4c363b5c7ab13b8_4304"
"dtd","","D-aminoacyl-tRNA deacylase","4","4","1","13","28","","","","437","437","437","LOCUS_14700","f76cef297a7dedb9150c88bc61db4d5a_3408","d0dc75faf82af35216c4087e568ab6aa_1211","e27c64c29733013eb4c363b5c7ab13b8_3124"
"glcE","","glycolate oxidase subunit GlcE","4","4","1","20","29","","","","1052","1052","1052","LOCUS_39140","f76cef297a7dedb9150c88bc61db4d5a_4730","d0dc75faf82af35216c4087e568ab6aa_3789","e27c64c29733013eb4c363b5c7ab13b8_2764"
"patA","","putrescine aminotransferase","4","4","1","7","36","","","","1289","1289","1289","LOCUS_04560","f76cef297a7dedb9150c88bc61db4d5a_932","d0dc75faf82af35216c4087e568ab6aa_1600","e27c64c29733013eb4c363b5c7ab13b8_3033"
"group_778","irp","oxidoreductase","4","4","1","2","93","","","","1100","1100","1100","LOCUS_29520","f76cef297a7dedb9150c88bc61db4d5a_42","d0dc75faf82af35216c4087e568ab6aa_2538","e27c64c29733013eb4c363b5c7ab13b8_3192"
"nagD","","ribonucleotide monophosphatase NagD","4","4","1","1","220","","","","752","752","752","LOCUS_22470","f76cef297a7dedb9150c88bc61db4d5a_2527","d0dc75faf82af35216c4087e568ab6aa_1071","e27c64c29733013eb4c363b5c7ab13b8_1954"
"group_78","","hypothetical protein","4","4","1","18","89","","","","407","443","425","LOCUS_21430","f76cef297a7dedb9150c88bc61db4d5a_3651","d0dc75faf82af35216c4087e568ab6aa_4695","e27c64c29733013eb4c363b5c7ab13b8_4757"
"group_780","","multidrug resistant protein-like protein","4","4","1","1","377","","","","1511","1511","1511","LOCUS_20830","f76cef297a7dedb9150c88bc61db4d5a_3194","d0dc75faf82af35216c4087e568ab6aa_375","e27c64c29733013eb4c363b5c7ab13b8_1152"
"group_781","","LacI family transcriptional regulator","4","4","1","31","24","","","","1019","1019","1019","LOCUS_38240","f76cef297a7dedb9150c88bc61db4d5a_4486","d0dc75faf82af35216c4087e568ab6aa_3962","e27c64c29733013eb4c363b5c7ab13b8_4431"
"group_782","","phage tail assembly protein T","4","4","1","30","25","","","","434","434","434","LOCUS_43550","f76cef297a7dedb9150c88bc61db4d5a_4548","d0dc75faf82af35216c4087e568ab6aa_4735","e27c64c29733013eb4c363b5c7ab13b8_4770"
"group_783","","heat-inducible protein","4","4","1","1","367","","","","422","422","422","LOCUS_45650","f76cef297a7dedb9150c88bc61db4d5a_4783","d0dc75faf82af35216c4087e568ab6aa_4565","e27c64c29733013eb4c363b5c7ab13b8_1142"
"sseA","","sulfurtransferase","4","4","1","16","66","","","","845","845","845","LOCUS_13050","f76cef297a7dedb9150c88bc61db4d5a_3211","d0dc75faf82af35216c4087e568ab6aa_1954","e27c64c29733013eb4c363b5c7ab13b8_2195"
"group_785","","hypothetical protein","4","4","1","37","4","","","","3497","3497","3497","LOCUS_46910","f76cef297a7dedb9150c88bc61db4d5a_4827","d0dc75faf82af35216c4087e568ab6aa_4512","e27c64c29733013eb4c363b5c7ab13b8_4835"
"hda","","DnaA regulatory inactivator Hda","4","4","1","8","104","","","","746","746","746","LOCUS_09400","f76cef297a7dedb9150c88bc61db4d5a_4244","d0dc75faf82af35216c4087e568ab6aa_3829","e27c64c29733013eb4c363b5c7ab13b8_1912"
"group_787","","bacterioferritin","4","4","1","34","15","","","","476","476","476","LOCUS_45190","f76cef297a7dedb9150c88bc61db4d5a_4699","d0dc75faf82af35216c4087e568ab6aa_4428","e27c64c29733013eb4c363b5c7ab13b8_4676"
"fabR","","HTH-type transcriptional repressor FabR","4","4","1","13","73","","","","704","704","704","LOCUS_46940","f76cef297a7dedb9150c88bc61db4d5a_4755","d0dc75faf82af35216c4087e568ab6aa_4633","e27c64c29733013eb4c363b5c7ab13b8_3865"
"yejK","","nucleoid-associated protein YejK","4","4","1","10","76","","","","1007","1007","1007","LOCUS_12840","f76cef297a7dedb9150c88bc61db4d5a_4173","d0dc75faf82af35216c4087e568ab6aa_3436","e27c64c29733013eb4c363b5c7ab13b8_2929"
"group_79","","hypothetical protein","4","4","1","18","77","","","","260","281","275","LOCUS_21550","f76cef297a7dedb9150c88bc61db4d5a_3662","d0dc75faf82af35216c4087e568ab6aa_4683","e27c64c29733013eb4c363b5c7ab13b8_4768"
"rplI","","50S ribosomal protein L9","4","4","1","11","91","","","","449","449","449","LOCUS_47160","f76cef297a7dedb9150c88bc61db4d5a_2370","d0dc75faf82af35216c4087e568ab6aa_2027","e27c64c29733013eb4c363b5c7ab13b8_3352"
"group_791","","PTS fructose transporter subunit IIB","4","4","1","12","100","","","","314","314","314","LOCUS_32350","f76cef297a7dedb9150c88bc61db4d5a_2268","d0dc75faf82af35216c4087e568ab6aa_2660","e27c64c29733013eb4c363b5c7ab13b8_1567"
"cysI","","sulfite reductase [NADPH] hemoprotein beta-component","4","4","1","3","232","","","","1712","1712","1712","LOCUS_07970","f76cef297a7dedb9150c88bc61db4d5a_671","d0dc75faf82af35216c4087e568ab6aa_1434","e27c64c29733013eb4c363b5c7ab13b8_235"
"group_793","","fimbrial protein","4","4","1","9","117","","","","1034","1034","1034","LOCUS_31140","f76cef297a7dedb9150c88bc61db4d5a_1462","d0dc75faf82af35216c4087e568ab6aa_488","e27c64c29733013eb4c363b5c7ab13b8_2457"
"group_794","","hypothetical protein","4","4","1","36","4","","","","386","386","386","LOCUS_44980","f76cef297a7dedb9150c88bc61db4d5a_4716","d0dc75faf82af35216c4087e568ab6aa_4283","e27c64c29733013eb4c363b5c7ab13b8_4656"
"frsA","","esterase FrsA","4","4","1","23","28","","","","1244","1244","1244","LOCUS_38040","f76cef297a7dedb9150c88bc61db4d5a_4097","d0dc75faf82af35216c4087e568ab6aa_2890","e27c64c29733013eb4c363b5c7ab13b8_4205"
"lptC","","lipopolysaccharide export system protein LptC","4","4","1","7","146","","","","575","575","575","LOCUS_05660","f76cef297a7dedb9150c88bc61db4d5a_820","d0dc75faf82af35216c4087e568ab6aa_816","e27c64c29733013eb4c363b5c7ab13b8_1461"
"group_797","","MFS transporter","4","4","1","2","455","","","","1253","1253","1253","LOCUS_00570","f76cef297a7dedb9150c88bc61db4d5a_412","d0dc75faf82af35216c4087e568ab6aa_941","e27c64c29733013eb4c363b5c7ab13b8_1723"
"group_798","","DNA-invertase","4","4","1","5","162","","","","566","566","566","LOCUS_14390","f76cef297a7dedb9150c88bc61db4d5a_1120","d0dc75faf82af35216c4087e568ab6aa_923","e27c64c29733013eb4c363b5c7ab13b8_417"
"group_799","","hypothetical protein","4","4","1","9","88","","","","275","275","275","LOCUS_30850","f76cef297a7dedb9150c88bc61db4d5a_1491","d0dc75faf82af35216c4087e568ab6aa_4663","e27c64c29733013eb4c363b5c7ab13b8_2486"
"yedR","","inner membrane protein YedR","4","4","1","2","112","","","","281","383","311","LOCUS_42020","f76cef297a7dedb9150c88bc61db4d5a_63","d0dc75faf82af35216c4087e568ab6aa_3727","e27c64c29733013eb4c363b5c7ab13b8_3786"
"repA1","","replication initiation protein","4","4","1","18","75","","","","806","857","818","LOCUS_21570","f76cef297a7dedb9150c88bc61db4d5a_3664","d0dc75faf82af35216c4087e568ab6aa_3094","e27c64c29733013eb4c363b5c7ab13b8_3684"
"vsr","","very short patch repair endonuclease","4","4","1","2","115","","","","470","470","470","LOCUS_41990","f76cef297a7dedb9150c88bc61db4d5a_66","d0dc75faf82af35216c4087e568ab6aa_3724","e27c64c29733013eb4c363b5c7ab13b8_3783"
"maeA","","NAD-dependent malic enzyme","4","4","1","17","16","","","","1697","1697","1697","LOCUS_41140","f76cef297a7dedb9150c88bc61db4d5a_4363","d0dc75faf82af35216c4087e568ab6aa_3407","e27c64c29733013eb4c363b5c7ab13b8_4399"
"group_802","","phosphoenolpyruvate--protein phosphotransferase","4","4","1","13","92","","","","2501","2501","2501","LOCUS_36320","f76cef297a7dedb9150c88bc61db4d5a_4217","d0dc75faf82af35216c4087e568ab6aa_3298","e27c64c29733013eb4c363b5c7ab13b8_3846"
"cobS","","adenosylcobinamide-GDP ribazoletransferase","4","4","1","2","78","","","","743","743","743","LOCUS_35380","f76cef297a7dedb9150c88bc61db4d5a_23","d0dc75faf82af35216c4087e568ab6aa_4054","e27c64c29733013eb4c363b5c7ab13b8_3173"
"bioC","","malonyl-[acyl-carrier protein] O-methyltransferase","4","4","1","5","55","","","","755","755","755","LOCUS_06980","f76cef297a7dedb9150c88bc61db4d5a_1014","d0dc75faf82af35216c4087e568ab6aa_703","e27c64c29733013eb4c363b5c7ab13b8_523"
"hisF","","imidazole glycerol phosphate synthase subunit HisF","4","4","1","6","68","","","","776","776","776","LOCUS_41270","f76cef297a7dedb9150c88bc61db4d5a_4351","d0dc75faf82af35216c4087e568ab6aa_3694","e27c64c29733013eb4c363b5c7ab13b8_3905"
"nhaB","","Na(+)/H(+) antiporter NhaB","4","4","1","1","697","","","","1541","1541","1541","LOCUS_35990","f76cef297a7dedb9150c88bc61db4d5a_2583","d0dc75faf82af35216c4087e568ab6aa_349","e27c64c29733013eb4c363b5c7ab13b8_3449"
"hemL","","glutamate-1-semialdehyde 2,1-aminomutase","4","4","1","19","61","","","","1280","1280","1280","LOCUS_11760","f76cef297a7dedb9150c88bc61db4d5a_3623","d0dc75faf82af35216c4087e568ab6aa_1674","e27c64c29733013eb4c363b5c7ab13b8_2874"
"group_808","ybaA","hypothetical protein","4","4","1","18","82","","","","257","257","257","LOCUS_21500","f76cef297a7dedb9150c88bc61db4d5a_3658","d0dc75faf82af35216c4087e568ab6aa_4688","e27c64c29733013eb4c363b5c7ab13b8_4764"
"manY","","PTS system mannose-specific EIIC component","4","4","1","2","245","","","","800","800","800","LOCUS_19760","f76cef297a7dedb9150c88bc61db4d5a_200","d0dc75faf82af35216c4087e568ab6aa_6","e27c64c29733013eb4c363b5c7ab13b8_703"
"group_81","","hypothetical protein","4","4","1","18","63","","","","284","302","297","LOCUS_21690","f76cef297a7dedb9150c88bc61db4d5a_3676","d0dc75faf82af35216c4087e568ab6aa_3082","e27c64c29733013eb4c363b5c7ab13b8_3672"
"group_810","","hypothetical protein","4","4","1","3","396","","","","1889","1889","1889","LOCUS_23210","f76cef297a7dedb9150c88bc61db4d5a_507","d0dc75faf82af35216c4087e568ab6aa_2256","e27c64c29733013eb4c363b5c7ab13b8_3592"
"group_811","","succinate-semialdehyde dehydrogenase","4","4","1","2","486","","","","1388","1388","1388","LOCUS_00190","f76cef297a7dedb9150c88bc61db4d5a_450","d0dc75faf82af35216c4087e568ab6aa_2560","e27c64c29733013eb4c363b5c7ab13b8_1685"
"inaA","","hypothetical protein","4","4","1","10","125","","","","650","650","650","LOCUS_12350","f76cef297a7dedb9150c88bc61db4d5a_2141","d0dc75faf82af35216c4087e568ab6aa_4023","e27c64c29733013eb4c363b5c7ab13b8_2979"
"group_813","","2'-5' RNA ligase","4","4","1","3","304","","","","707","707","707","LOCUS_30140","f76cef297a7dedb9150c88bc61db4d5a_595","d0dc75faf82af35216c4087e568ab6aa_3912","e27c64c29733013eb4c363b5c7ab13b8_311"
"jemC","","transcriptional regulator","4","4","1","41","5","","","","686","686","686","LOCUS_47890","f76cef297a7dedb9150c88bc61db4d5a_4958","d0dc75faf82af35216c4087e568ab6aa_4838","e27c64c29733013eb4c363b5c7ab13b8_4908"
"group_815","","outer membrane protein","4","4","1","8","178","","","","2189","2189","2189","LOCUS_08660","f76cef297a7dedb9150c88bc61db4d5a_3048","d0dc75faf82af35216c4087e568ab6aa_1512","e27c64c29733013eb4c363b5c7ab13b8_1832"
"fxsA","","membrane protein FxsA","4","4","1","11","30","","","","476","476","476","LOCUS_42190","f76cef297a7dedb9150c88bc61db4d5a_4691","d0dc75faf82af35216c4087e568ab6aa_4252","e27c64c29733013eb4c363b5c7ab13b8_3288"
"group_817","","phage portal protein","4","4","1","1","807","","","","1502","1502","1502","LOCUS_34630","f76cef297a7dedb9150c88bc61db4d5a_4580","d0dc75faf82af35216c4087e568ab6aa_4571","e27c64c29733013eb4c363b5c7ab13b8_4787"
"group_818","","alpha/beta hydrolase","4","4","1","28","20","","","","920","920","920","LOCUS_39340","f76cef297a7dedb9150c88bc61db4d5a_3807","d0dc75faf82af35216c4087e568ab6aa_4142","e27c64c29733013eb4c363b5c7ab13b8_4534"
